Disease,Hospital_Type,Hospital_Name,Cost,City,Address,Contact
Gastroenteritis,Govt,Community Health Centre Ullal,3000,Ullal,Ullal Main Road - 574146,0824-2279100
Cancer,Private,Canara Hospital Puttur,155000,Puttur,Puttur Main Road - 574201,08251-231500
Thyroid Disorder,Govt,Government Hospital Kukke Subramanya,6500,Subramanya,Subramanya Town - 574238,08257-258011
Pneumonia,Govt,Primary Health Centre Nelyadi,11000,Kadaba,"Nelyadi, Kadaba - 574221",08257-265200
Fever,Private,Shridhar Hospital Mulki,5000,Mulki,Mulki Junction - 574154,0824-2296300
Kidney Stone,Private,Gurupura Hospital,38000,Gurupura,"Main Road, Gurupura - 575016",0824-2284200
Heart Disease,Private,Prakash Hospital Bantwal,145500,Bantwal,"Main Road, Bantwal - 574219",08255-232800
Tuberculosis,Govt,Primary Health Centre Panemangalore,4500,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Asthma,Govt,Primary Health Centre Gurupura,7500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Tuberculosis,Private,Saraswathi Hospital Uppinangady,21000,Uppinangady,Uppinangady - 574241,08251-232500
Diabetes,Private,Nelyadi Clinic & Hospital,13500,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Pregnancy,Private,Shridhar Hospital Nanthoor,54000,Nanthoor,"Main Road, Nanthoor - 574219",08255-239200
Eye Disease,Govt,Primary Health Centre Naravi,13000,Belthangady,"Naravi, Belthangady - 574214",08256-230200
Fever,Govt,Government Hospital Venur,2500,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Thyroid Disorder,Private,Udupi Hospital Ujire,16500,Ujire,Ujire - 574240,08256-248300
Diabetes,Private,Srinivas Institute of Medical Sciences,17000,Mangaluru,"Mukka, Surathkal, Mangaluru - 574146",0824-2477000
Dengue,Private,Nethravathi Medical Centre Bellare,11500,Bellare,Bellare - 574212,08257-261300
Kidney Stone,Private,Sealand Hospital Ullal,43000,Ullal,"Someshwara, Ullal - 574146",0824-2278001
Tuberculosis,Govt,Government Hospital Ujire,5500,Ujire,Ujire Town - 574240,08256-248100
Ear Infection,Private,Kateel Medical Centre,9000,Kateel,"Main Road, Kateel - 574272",0824-2298300
Tuberculosis,Private,Sahyadri Medical Centre Venur,27000,Venur,Venur - 574237,08256-262300
Dengue,Private,Dharmasthala Rural Hospital,12500,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Kidney Stone,Private,SDM Ayurvedic Hospital Dharmasthala,37000,Dharmasthala,Dharmasthala - 574216,08256-277333
UTI,Govt,Community Health Centre Sullia,4500,Sullia,Sullia Town - 574239,08257-233100
Asthma,Private,Vinayaka Hospital Sullia,15500,Sullia,Sullia - 574239,08257-234300
Jaundice,Govt,Government Hospital Bantwal PHC,6500,Bantwal,"Bantwal Town, DK - 574219",08255-232100
Eye Disease,Govt,Primary Health Centre Subramanya,14500,Subramanya,Subramanya - 574238,08257-258100
Anaemia,Private,SDM Ayurvedic Hospital Dharmasthala,8000,Dharmasthala,Dharmasthala - 574216,08256-277333
UTI,Private,Dharmasthala Rural Hospital,7500,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Cancer,Private,Udupi Hospital Ujire,168000,Ujire,Ujire - 574240,08256-248300
Pneumonia,Private,Vijaya Hospital Belthangady,21000,Belthangady,Belthangady Town - 574214,08256-230700
Typhoid,Govt,Primary Health Centre Uppinangady,3000,Uppinangady,Uppinangady Town - 574241,08251-232100
Pneumonia,Private,Srinivasa Hospital Kadaba,26000,Kadaba,"Main Road, Kadaba - 574221",08257-265500
Fever,Private,Sahyadri Medical Centre Venur,5500,Venur,Venur - 574237,08256-262300
Skin Disease,Private,Sai Sanjeevini Hospital Gurupura,9500,Gurupura,Gurupura - 575016,0824-2284300
Eye Disease,Govt,Primary Health Centre Panambur,9500,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Jaundice,Govt,Government Dispensary Bellare,9500,Bellare,Bellare Town - 574212,08257-261100
Appendicitis,Govt,Government Hospital Venur,25000,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Hypertension,Govt,Government Dispensary Nanthoor,8000,Nanthoor,Nanthoor - 574219,08255-239100
Thyroid Disorder,Private,Durgaparameshwari Hospital Subramanya,14500,Subramanya,Subramanya - 574238,08257-258300
Pneumonia,Govt,Community Health Sub-Centre Panemangalore,13500,Panemangalore,Panemangalore - 574236,0824-2239100
Appendicitis,Govt,Primary Health Centre Nelyadi,19500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Dengue,Govt,Community Health Centre Sullia,7000,Sullia,Sullia Town - 574239,08257-233100
Malaria,Govt,Government Dispensary Nelyadi,7500,Nelyadi,Nelyadi Town - 574221,08257-265300
Diabetes,Private,Srinivasa Hospital Kateel,14000,Kateel,Kateel - 574272,0824-2298400
Appendicitis,Govt,Community Health Centre Ullal,23500,Ullal,Ullal Main Road - 574146,0824-2279100
Tuberculosis,Govt,Primary Health Centre Nanthoor,5500,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Malaria,Private,Srinivasa Hospital Kadaba,10000,Kadaba,"Main Road, Kadaba - 574221",08257-265500
Gastroenteritis,Govt,Primary Health Centre Nelyadi,6000,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Fracture,Govt,Primary Health Centre Kinnigoli,12000,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Anaemia,Govt,Government Dispensary Nelyadi,5500,Nelyadi,Nelyadi Town - 574221,08257-265300
Pneumonia,Private,Sai Sanjeevini Hospital Gurupura,27500,Gurupura,Gurupura - 575016,0824-2284300
Pneumonia,Private,Coastal Nursing Home Panemangalore,21000,Panemangalore,Panemangalore - 574236,0824-2239400
Appendicitis,Govt,Government Dispensary Bellare,27000,Bellare,Bellare Town - 574212,08257-261100
Ear Infection,Govt,Government Hospital Uppinangady,3500,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Appendicitis,Govt,Primary Health Centre Nanthoor,33000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Asthma,Govt,Government Hospital Uppinangady,9000,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Jaundice,Govt,Government Dispensary Moodabidri,8000,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Typhoid,Private,Unity Hospital Mangaluru,13000,Mangaluru,"Mangaladevi Road, Mangaluru - 575003",0824-2222222
Heart Disease,Govt,Community Health Centre Dharmasthala,82500,Dharmasthala,Dharmasthala - 574216,08256-277011
Pregnancy,Private,Sai Sanjeevini Hospital Kinnigoli,53500,Kinnigoli,Kinnigoli - 574150,0824-2293300
UTI,Govt,Government Hospital Vittal,4500,Vittal,"Main Road, Vittal - 574243",08255-231100
Pneumonia,Govt,Community Health Centre Puttur,9500,Puttur,Puttur Town - 574201,08251-230300
Pregnancy,Govt,Primary Health Centre Ullal,27500,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Jaundice,Private,Srinivasa Hospital Venur,25000,Venur,Venur - 574237,08256-262400
Skin Disease,Private,Prakash Hospital Bantwal,10500,Bantwal,"Main Road, Bantwal - 574219",08255-232800
Surgery,Govt,Urban Primary Health Centre Surathkal,52500,Surathkal,"NITK Campus Road, Surathkal - 575014",0824-2474055
Surgery,Govt,Primary Health Centre Panambur,45000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Skin Disease,Govt,Government Hospital Kateel,1500,Kateel,Kateel Town - 574272,0824-2298100
Typhoid,Govt,Government Dispensary Bellare,5500,Bellare,Bellare Town - 574212,08257-261100
Typhoid,Govt,Taluk Hospital Moodabidri,3000,Moodabidri,"Hospital Road, Moodabidri - 574227",0824-2386011
Anaemia,Govt,Government Hospital Ullal,5500,Ullal,"Ullal Town, Dakshina Kannada - 574146",0824-2279011
UTI,Private,Durgaparameshwari Hospital Subramanya,12000,Subramanya,Subramanya - 574238,08257-258300
Jaundice,Private,Sahyadri Clinic Bellare,28000,Bellare,Bellare - 574212,08257-261400
Malaria,Private,Durgaparameshwari Hospital Kateel,12000,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Typhoid,Govt,Primary Health Centre Kinnigoli,2500,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Skin Disease,Govt,Government Dispensary Nelyadi,3500,Nelyadi,Nelyadi Town - 574221,08257-265300
Typhoid,Private,Vijaya Hospital Belthangady,10000,Belthangady,Belthangady Town - 574214,08256-230700
Liver Disease,Private,Alva's Health Centre Moodabidri,87000,Moodabidri,"Alva's Education Foundation, Moodabidri - 574227",0824-2386500
Pneumonia,Private,Sri Sai Hospital Nanthoor,16000,Nanthoor,Nanthoor - 574219,08255-239400
Gastroenteritis,Govt,Primary Health Centre Bellare,7000,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Ear Infection,Govt,Primary Health Centre Venur,4500,Venur,Venur Town - 574237,08256-262100
Typhoid,Private,Coastal Hospital Surathkal,12500,Surathkal,"Surathkal Road, Mangaluru - 575014",0824-2478002
Eye Disease,Private,Shanthi Hospital Gurupura,25500,Gurupura,Gurupura - 575016,0824-2284400
Liver Disease,Private,Srinivasa Clinic Panemangalore,65000,Panemangalore,Panemangalore - 574236,0824-2239300
Fever,Govt,Government Hospital Vittal,2500,Vittal,"Main Road, Vittal - 574243",08255-231100
Hypertension,Private,Navami Hospital Bantwal,12000,Bantwal,Bantwal - 574219,08255-232900
Fracture,Private,Panemangalore Hospital,24000,Panemangalore,"Main Road, Panemangalore - 574236",0824-2239200
Hypertension,Govt,Community Health Centre Moodabidri,7500,Moodabidri,Moodabidri Town - 574227,0824-2386100
Cancer,Govt,Primary Health Centre Kinnigoli,122000,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Jaundice,Private,Shridhar Hospital Mulki,24000,Mulki,Mulki Junction - 574154,0824-2296300
Tuberculosis,Private,Coastal Hospital Kinnigoli,26500,Kinnigoli,Kinnigoli - 574150,0824-2293400
Pneumonia,Govt,Primary Health Centre Dharmasthala,11500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Tuberculosis,Govt,Government Lady Goschen Hospital,4500,Mangaluru,"Maidan Road, Mangaluru - 575001",0824-2440305
Skin Disease,Govt,Primary Health Centre Panambur,2500,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Fracture,Private,Durgaparameshwari Hospital Kateel,28000,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Malaria,Govt,Taluk Hospital Belthangady,6000,Belthangady,"Hospital Road, Belthangady - 574214",08256-230011
Dengue,Private,Srinivasa Hospital Kateel,16500,Kateel,Kateel - 574272,0824-2298400
Pregnancy,Govt,Primary Health Centre Nelyadi,27500,Kadaba,"Nelyadi, Kadaba - 574221",08257-265200
Jaundice,Private,Srinivasa Hospital Moodabidri,18500,Moodabidri,Moodabidri Main Road - 574227,0824-2386800
Tuberculosis,Private,Netravathi Hospital Ujire,22500,Ujire,"Main Road, Ujire - 574240",08256-248200
Malaria,Private,Venur Hospital,12000,Venur,"Main Road, Venur - 574237",08256-262200
Malaria,Govt,Primary Health Centre Ullal,6500,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Tuberculosis,Govt,Government Hospital Kukke Subramanya,4500,Subramanya,Subramanya Town - 574238,08257-258011
Tuberculosis,Govt,Primary Health Centre Venur,6500,Venur,Venur Town - 574237,08256-262100
Gastroenteritis,Govt,Community Health Sub-Centre Panemangalore,3000,Panemangalore,Panemangalore - 574236,0824-2239100
Malaria,Private,Sri Sai Hospital Nanthoor,14500,Nanthoor,Nanthoor - 574219,08255-239400
Heart Disease,Govt,Government Hospital Uppinangady,85000,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Skin Disease,Govt,Government Hospital Kukke Subramanya,2000,Subramanya,Subramanya Town - 574238,08257-258011
UTI,Private,Nanthoor Community Hospital,11500,Nanthoor,Nanthoor - 574219,08255-239300
Pregnancy,Private,Shanthi Hospital Gurupura,53000,Gurupura,Gurupura - 575016,0824-2284400
Typhoid,Private,Shanthi Hospital Gurupura,13500,Gurupura,Gurupura - 575016,0824-2284400
Cancer,Govt,Community Health Centre Dharmasthala,93000,Dharmasthala,Dharmasthala - 574216,08256-277011
Kidney Stone,Private,Sai Sanjeevini Hospital Kinnigoli,41000,Kinnigoli,Kinnigoli - 574150,0824-2293300
Fracture,Govt,Primary Health Centre Panemangalore,15000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Anaemia,Private,Coastal Care Hospital Panambur,7500,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Heart Disease,Govt,Primary Health Centre Panemangalore,93000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Hypertension,Govt,Primary Health Centre Uppinangady,6000,Uppinangady,Uppinangady Town - 574241,08251-232100
Dengue,Govt,Community Health Centre Gurupura,6000,Gurupura,Gurupura - 575016,0824-2284100
Surgery,Govt,Government Dispensary Moodabidri,35500,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Pregnancy,Govt,Community Health Centre Mulki,21000,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Tuberculosis,Govt,Government Maternity Hospital Puttur,5000,Puttur,Puttur - 574201,08251-230400
UTI,Private,Shri Dharmasthala Manjunatheshwara Hospital Dharmasthala,14000,Belthangady,Dharmasthala - 574216,08256-277222
Hypertension,Private,Shanthi Hospital Gurupura,16500,Gurupura,Gurupura - 575016,0824-2284400
Skin Disease,Govt,Primary Health Centre Uppinangady,2000,Uppinangady,Uppinangady Town - 574241,08251-232100
Asthma,Govt,Urban Primary Health Centre Kavoor,10500,Mangaluru,"Kavoor, Mangaluru - 574143",0824-2285033
Skin Disease,Govt,Primary Health Centre Kinnigoli,2000,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Liver Disease,Private,Shridhar Hospital Mulki,88500,Mulki,Mulki Junction - 574154,0824-2296300
Eye Disease,Private,Shri Dharmasthala Manjunatheshwara Hospital Dharmasthala,23500,Belthangady,Dharmasthala - 574216,08256-277222
Fever,Private,Prakash Hospital Surathkal,3500,Surathkal,"NH 66 Surathkal, Mangaluru - 575014",0824-2476001
Diabetes,Private,Shanthi Hospital Kadaba,16000,Kadaba,Kadaba Town - 574221,08257-265700
Gastroenteritis,Govt,Community Health Sub-Centre Kinnigoli,4500,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Diabetes,Govt,Primary Health Centre Dharmasthala,6000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Heart Disease,Govt,Primary Health Centre Bellare,77500,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Hypertension,Govt,Primary Health Centre Dharmasthala,5000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Appendicitis,Private,Durgaparameshwari Hospital Subramanya,64000,Subramanya,Subramanya - 574238,08257-258300
Ear Infection,Private,Mahalasa Hospital Nelyadi,10000,Nelyadi,Nelyadi - 574221,08257-265900
UTI,Govt,Primary Health Centre Venur,3500,Venur,Venur Town - 574237,08256-262100
Skin Disease,Govt,Government Hospital Ujire,3500,Ujire,Ujire Town - 574240,08256-248100
Jaundice,Private,Narayana Hospital Panambur,18500,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Eye Disease,Govt,Primary Health Centre Nelyadi,12500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Fracture,Govt,Primary Health Centre Panambur,15000,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Skin Disease,Private,Srinivasa Hospital Puttur,11500,Puttur,"KS Road, Puttur - 574201",08251-231000
Typhoid,Private,Sahyadri Hospital Vittal,9500,Vittal,"NH 75, Vittal - 574243",08255-231400
Dengue,Govt,Government Hospital Ullal,5000,Ullal,"Ullal Town, Dakshina Kannada - 574146",0824-2279011
Liver Disease,Govt,Primary Health Centre Ujire,25500,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Dengue,Private,Dawa Hospital Ullal,14000,Ullal,Ullal Town Road - 574146,0824-2279200
Malaria,Govt,Community Health Centre Gurupura,7000,Gurupura,Gurupura - 575016,0824-2284100
Heart Disease,Private,Panchalingeshwara Hospital Vittal,148000,Vittal,Vittal Town - 574243,08255-231300
Pneumonia,Private,Navami Hospital Bantwal,26000,Bantwal,Bantwal - 574219,08255-232900
Surgery,Private,Coastal Nursing Home Panemangalore,78000,Panemangalore,Panemangalore - 574236,0824-2239400
Fracture,Govt,Primary Health Centre Subramanya,10500,Subramanya,Subramanya - 574238,08257-258100
Fever,Private,SDM Medical College Hospital Ujire,5500,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Ear Infection,Govt,Community Health Centre Belthangady,4000,Belthangady,Belthangady Town - 574214,08256-230100
Thyroid Disorder,Govt,Community Health Sub-Centre Panemangalore,5500,Panemangalore,Panemangalore - 574236,0824-2239100
Fracture,Private,Nelyadi Clinic & Hospital,35500,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Eye Disease,Private,Kalanjali Hospital Vittal,24500,Vittal,Vittal - 574243,08255-231500
Malaria,Govt,Primary Health Centre Vittal,6500,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Asthma,Govt,Government Hospital Vittal,6500,Vittal,"Main Road, Vittal - 574243",08255-231100
Thyroid Disorder,Govt,Primary Health Centre Dharmasthala,8000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Diabetes,Govt,Government Hospital Uppinangady,9000,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Appendicitis,Govt,Primary Health Centre Vittal,30000,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Fever,Private,Nethravathi Medical Centre Bellare,4000,Bellare,Bellare - 574212,08257-261300
Fever,Govt,Community Health Sub-Centre Kinnigoli,2000,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Asthma,Govt,Primary Health Centre Panemangalore,8500,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Thyroid Disorder,Govt,Primary Health Centre Nelyadi,6500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Diabetes,Private,Sharavathi Hospital Subramanya,17500,Subramanya,"Temple Road, Subramanya - 574238",08257-258400
Diabetes,Private,Coastal Nursing Home Panemangalore,11500,Panemangalore,Panemangalore - 574236,0824-2239400
Liver Disease,Govt,Primary Health Centre Kateel,35000,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Pregnancy,Private,Durgaparameshwari Hospital Kadaba,50500,Kadaba,Kadaba - 574221,08257-265600
Surgery,Govt,Community Health Centre Kadaba,50500,Kadaba,Kadaba Town - 574221,08257-265100
Anaemia,Govt,Community Health Centre Kadaba,3500,Kadaba,Kadaba Town - 574221,08257-265100
Tuberculosis,Private,Dr BR Ambedkar Medical Institute BC Road,17500,Bantwal,"BC Road, Bantwal - 574219",08255-232500
Asthma,Private,Alva's Health Centre Moodabidri,21000,Moodabidri,"Alva's Education Foundation, Moodabidri - 574227",0824-2386500
Diabetes,Private,Coastal Care Hospital Panambur,17500,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Cancer,Govt,Primary Health Centre Panambur,118000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Diabetes,Private,Dr BR Ambedkar Medical Institute BC Road,14500,Bantwal,"BC Road, Bantwal - 574219",08255-232500
Appendicitis,Private,KVG Medical College Hospital Sullia,44500,Sullia,"Kurunjibag, Sullia - 574327",08257-232608
Eye Disease,Private,Srinivasa Hospital Puttur,21000,Puttur,"KS Road, Puttur - 574201",08251-231000
Typhoid,Govt,Taluk Hospital Kadaba,3000,Kadaba,"Hospital Road, Kadaba - 574221",08257-265011
Tuberculosis,Private,Karavali Hospital Mulki,24000,Mulki,"NH 66, Mulki - 574154",0824-2296400
Anaemia,Private,Samanvaya Hospital Bantwal,7000,Bantwal,Bantwal Town Road - 574219,08255-232700
Surgery,Govt,Primary Health Centre Paladka,45000,Mulki,"Paladka, Mulki - 574154",0824-2296100
Anaemia,Govt,Primary Health Centre Ujire,5000,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Fever,Private,KVG Medical College & Hospital Puttur Road,4500,Puttur,"Sullia Road, Puttur - 574201",08251-230600
Thyroid Disorder,Private,Sai Sanjeevini Hospital Gurupura,17000,Gurupura,Gurupura - 575016,0824-2284300
Pregnancy,Private,Shree Durgaparameshwari Hospital BC Road,65500,Bantwal,"BC Road, Bantwal - 574219",08255-232600
Surgery,Private,Sharada Hospital Puttur,91500,Puttur,Puttur - 574201,08251-231400
Liver Disease,Govt,Government Dispensary Nelyadi,29000,Nelyadi,Nelyadi Town - 574221,08257-265300
Skin Disease,Private,Coastal Care Hospital Panambur,5000,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Thyroid Disorder,Private,Panemangalore Hospital,11000,Panemangalore,"Main Road, Panemangalore - 574236",0824-2239200
Dengue,Govt,Government Dispensary Moodabidri,4000,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Typhoid,Private,Shanthi Hospital Gurupura,10000,Gurupura,Gurupura - 575016,0824-2284400
Pneumonia,Govt,Community Health Centre Vamanapadavu,10000,Bantwal,"Vamanapadavu, Bantwal - 574241",08255-232200
Tuberculosis,Govt,Primary Health Centre Kinnigoli,5500,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Cancer,Govt,Primary Health Centre Gurupura,101500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Kidney Stone,Govt,Community Health Sub-Centre Panemangalore,16500,Panemangalore,Panemangalore - 574236,0824-2239100
Eye Disease,Govt,Primary Health Centre Vittal,14500,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Pregnancy,Govt,Government Dispensary Nelyadi,19500,Nelyadi,Nelyadi Town - 574221,08257-265300
Pneumonia,Private,Lourdes Hospital Mangaluru,21500,Mangaluru,"Bendore, Mangaluru - 575002",0824-2443333
Heart Disease,Govt,Government Hospital Venur,92500,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Jaundice,Govt,Urban Primary Health Centre Bunder,9000,Mangaluru,"Bunder, Mangaluru - 575001",0824-2440101
Hypertension,Private,Durgaparameshwari Hospital Kadaba,10000,Kadaba,Kadaba - 574221,08257-265600
Heart Disease,Govt,Community Health Centre Kadaba,82000,Kadaba,Kadaba Town - 574221,08257-265100
Eye Disease,Govt,Community Health Centre Gurupura,10500,Gurupura,Gurupura - 575016,0824-2284100
Anaemia,Govt,Government Maternity Hospital Puttur,3000,Puttur,Puttur - 574201,08251-230400
Pregnancy,Govt,General Hospital Puttur,19000,Puttur,"Hospital Road, Puttur - 574201",08251-230295
Appendicitis,Private,Panemangalore Hospital,51000,Panemangalore,"Main Road, Panemangalore - 574236",0824-2239200
Thyroid Disorder,Private,Nelyadi Clinic & Hospital,12000,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Dengue,Private,Saraswathi Hospital Uppinangady,16000,Uppinangady,Uppinangady - 574241,08251-232500
Ear Infection,Govt,Community Health Centre Moodabidri,2000,Moodabidri,Moodabidri Town - 574227,0824-2386100
Gastroenteritis,Private,Kateel Medical Centre,15000,Kateel,"Main Road, Kateel - 574272",0824-2298300
Hypertension,Govt,Community Health Sub-Centre Kinnigoli,9000,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Pregnancy,Govt,Government Hospital Uppinangady,16500,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Appendicitis,Govt,Port Trust Hospital Panambur,29500,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Anaemia,Govt,Community Health Centre Mulki,4500,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Cancer,Govt,Government Hospital Vittal,104500,Vittal,"Main Road, Vittal - 574243",08255-231100
Diabetes,Private,Kalanjali Hospital Vittal,11500,Vittal,Vittal - 574243,08255-231500
Fracture,Govt,Primary Health Centre Ullal,13000,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Ear Infection,Govt,Government Hospital Kukke Subramanya,4500,Subramanya,Subramanya Town - 574238,08257-258011
Hypertension,Private,Durgaparameshwari Hospital Subramanya,16000,Subramanya,Subramanya - 574238,08257-258300
Diabetes,Govt,Community Health Sub-Centre Kinnigoli,6000,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Pregnancy,Private,Yenepoya Medical College Hospital,66000,Mangaluru,"University Road, Deralakatte, Mangaluru - 575018",0824-2204668
Eye Disease,Govt,Government Dispensary Bellare,14500,Bellare,Bellare Town - 574212,08257-261100
Hypertension,Govt,Community Health Centre Sullia,6000,Sullia,Sullia Town - 574239,08257-233100
Skin Disease,Govt,Primary Health Centre Nelyadi,3000,Kadaba,"Nelyadi, Kadaba - 574221",08257-265200
UTI,Private,Ullal Nursing Home,13000,Ullal,"Main Road, Ullal - 574146",0824-2279400
Hypertension,Govt,Government Hospital Surathkal,6500,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Gastroenteritis,Govt,Port Trust Hospital Panambur,5500,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Heart Disease,Govt,Primary Health Centre Kateel,82500,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Malaria,Govt,Government Hospital Kukke Subramanya,4000,Subramanya,Subramanya Town - 574238,08257-258011
Kidney Stone,Private,Shree Hospital Uppinangady,43500,Uppinangady,Uppinangady - 574241,08251-232300
Liver Disease,Private,Sahyadri Clinic Bellare,83500,Bellare,Bellare - 574212,08257-261400
Surgery,Govt,ESIC Hospital Kadri,44500,Mangaluru,"Kadri Hills Road, Kadri, Mangaluru - 575002",0824-2212977
Skin Disease,Private,Nelyadi Clinic & Hospital,7000,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Anaemia,Private,Dawa Hospital Ullal,7500,Ullal,Ullal Town Road - 574146,0824-2279200
Fracture,Private,Kinnigoli Hospital,26000,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
Typhoid,Govt,Primary Health Centre Nanthoor,4500,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Surgery,Private,Coastal Hospital Surathkal,81500,Surathkal,"Surathkal Road, Mangaluru - 575014",0824-2478002
Fever,Govt,General Hospital Puttur,1500,Puttur,"Hospital Road, Puttur - 574201",08251-230295
Heart Disease,Govt,Community Health Sub-Centre Kinnigoli,90500,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Pregnancy,Govt,Primary Health Centre Subramanya,24000,Subramanya,Subramanya - 574238,08257-258100
Fever,Private,Janatha Hospital Sullia,4500,Sullia,Sullia Town - 574239,08257-234100
Fever,Govt,Primary Health Centre Ullal,2000,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Dengue,Govt,Government Hospital Kateel,8500,Kateel,Kateel Town - 574272,0824-2298100
Appendicitis,Govt,General Hospital Puttur,27000,Puttur,"Hospital Road, Puttur - 574201",08251-230295
Typhoid,Private,Nanthoor Community Hospital,8000,Nanthoor,Nanthoor - 574219,08255-239300
Appendicitis,Private,SDM Ayurvedic Hospital Dharmasthala,66000,Dharmasthala,Dharmasthala - 574216,08256-277333
Jaundice,Private,Janatha Hospital Sullia,18000,Sullia,Sullia Town - 574239,08257-234100
Fracture,Private,Jain Hospital Moodabidri,30500,Moodabidri,"Temple Road, Moodabidri - 574227",0824-2386700
Liver Disease,Govt,Urban Primary Health Centre Surathkal,21000,Surathkal,"NITK Campus Road, Surathkal - 575014",0824-2474055
Cancer,Govt,Government Hospital Kateel,119000,Kateel,Kateel Town - 574272,0824-2298100
Fracture,Private,Coastal Hospital Surathkal,29000,Surathkal,"Surathkal Road, Mangaluru - 575014",0824-2478002
